Date,Ref,S3,S4,S1,S2
12.06.2021 08:00,13.6,10.4,12.04,3.2,1.56
12.06.2021 09:00,13.2,10.8,11.64,2.4,1.56
12.06.2021 10:00,12,9.07,9.75,2.93,2.25
12.06.2021 11:00,12.2,8.99,9.88,3.21,2.32
12.06.2021 12:00,12,8.67,9.66,3.33,2.34
12.06.2021 13:00,12,9.1,9.16,2.9,2.84
12.06.2021 14:00,11.7,8.08,10.02,3.62,1.68
12.06.2021 15:00,13.4,9.62,11.14,3.78,2.26
12.06.2021 16:00,14,10.46,10.74,3.54,3.26
12.06.2021 17:00,12,8.66,8.71,3.34,3.29
12.06.2021 18:00,5.3,4.23,4.15,1.07,1.15
12.06.2021 19:00,3.7,3.05,3.35,0.65,0.35
12.06.2021 20:00,3.6,3.33,3.74,0.27,0.14
12.06.2021 21:00,4,3.3,3.22,0.7,0.78
12.06.2021 22:00,4.8,3.45,3.82,1.35,0.98
12.06.2021 23:00,5.6,4.35,4.48,1.25,1.12
13.06.2021 00:00,5,3.7,3.78,1.3,1.22
13.06.2021 01:00,5.1,4.25,4.5,0.85,0.6
13.06.2021 02:00,4.9,3.97,5.17,0.93,0.27
13.06.2021 03:00,5.2,4.17,5.02,1.03,0.18
13.06.2021 04:00,5.5,4.56,4.85,0.94,0.65
13.06.2021 05:00,5.5,4.83,5.37,0.67,0.13
13.06.2021 06:00,6,5.4,6.08,0.6,0.08
13.06.2021 07:00,7.1,7.12,7.06,0.02,0.04
13.06.2021 08:00,8.3,8.36,8.12,0.06,0.18
13.06.2021 09:00,8.7,8.04,7.72,0.66,0.98
13.06.2021 10:00,8.5,7.1,7.09,1.4,1.41
13.06.2021 11:00,7.4,5.94,6.3,1.46,1.1
13.06.2021 12:00,7.2,5.88,6.17,1.32,1.03
13.06.2021 13:00,6.6,5.15,5.55,1.45,1.05
13.06.2021 14:00,6.4,4.81,5.83,1.59,0.57
13.06.2021 15:00,5.7,5.09,5.67,0.61,0.03
13.06.2021 16:00,5.9,4.73,5.84,1.17,0.06
13.06.2021 17:00,6,4.65,4.79,1.35,1.21
13.06.2021 18:00,6,5.2,5.45,0.8,0.55
13.06.2021 19:00,5.7,4.46,4.91,1.24,0.79
13.06.2021 20:00,6,5.22,5.33,0.78,0.67
13.06.2021 21:00,6.3,4.17,5.02,2.13,1.28
13.06.2021 22:00,7.2,5.34,6.2,1.86,1
